"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0699996948242","","","","","","","","","","96.7200012207031","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7137489318848","47.2143516540527","47.6048202514648","48.261848449707","48.2690887451172","48.7048301696777","49.3929290771484","49.8277702331543","50.7542190551758","51.5709114074707","52.7222709655762","53.1063385009766","53.9592094421387","54.7294883728027","55.4938011169434","55.3249092102051","56.010799407959","56.3854598999023","55.8342895507812","53.7906188964844","55.0987091064453","55.4008483886719","56.3031387329102","57.2009887695312","59.7137794494629","61.5636787414551","62.5765991210938","63.2892417907715","63.9022483825684","64.8227615356445","65.0355529785156","66.002067565918","67.3515930175781","67.6145935058594","67.4931716918945","68.0106811523438","68.4889831542969","68.9832000732422","",
"Afghanistan","AFG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","4.98999977111816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0200004577637","","","","17.0900001525879","","","","","21.6826901223905","22.6000003814697","26.6000003814697","","","",
"Africa Western and Central","AFW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","28.5781803131104","28.8744392395019","29.6787204742432","30.4009304046631","31.268009185791","32.1375694274902","33.044620513916","33.9253311157227","34.857421875","35.8595085144043","36.3176689147949","37.3481483459473","38.4709396362305","39.7261199951172","40.7592315673828","35.969898223877","37.225830078125","38.1353912353516","39.0283088684082","40.1331596374512","40.4065399169922","41.3359298706055","39.8828315734863","40.4804916381836","40.426830291748","41.4110412597656","42.6479911804199","43.2069282531738","44.0864791870117","45.0300407409668","46.0438690185547","46.737491607666","47.7628784179688","51.646858215332","51.634521484375","51.8516998291016","52.1573600769043","52.4729690551758","52.756160736084","52.9346389770508","",
"Angola","AGO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.189998626709","","","","","","","","","","","","","53.4099998474121","51.9300003051758","","","","","","","","","","",
"Albania","ALB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.25","","","","","","","94.6800003051758","","","95.6900024414062","96.1399993896484","","","","","99.0500030517578","","","","","","97.2200012207031","","",
"Andorra","AND","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","33.4796600341797","34.1121788024902","34.7516899108887","35.556510925293","35.92626953125","36.7839202880859","37.645191192627","38.5148010253906","39.3838806152344","40.4407005310059","41.4955406188965","42.6079597473145","43.5892715454102","44.7395210266113","45.0490798950195","46.0691909790039","47.1103096008301","48.3791618347168","49.6689682006836","50.9679718017578","52.2303810119629","53.415210723877","54.7195014953613","56.0220718383789","58.4767417907715","59.6348304748535","60.4218902587891","59.1166305541992","59.9274215698242","61.1468315124512","62.147518157959","62.9603385925293","65.0614929199219","66.0259017944336","67.4141082763672","67.558349609375","68.544792175293","67.6144409179688","68.5404586791992","69.0274887084961","69.4827117919922","70.0019378662109","70.4430618286133","70.9903335571289","71.4682388305664","71.960693359375","",
"United Arab Emirates","ARE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","38.1199989318848","","","","","","","","","","68.6600036621094","","","","","","","","","","","","","","","","","","","","91.4700012207031","","","","","","","","","","","","","","97.129997253418","","97.1699981689453","97.5800018310547","97.5","98.4300003051758","",
"Argentina","ARG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","93.5800018310547","","","","","","","","","","","95.9199981689453","","","","","","","","","","97.1900024414062","","","","","","","","","","","","","","","","","","","99.1600036621094","","","","","",
"Armenia","ARM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1500015258789","","","","","","","","","","","","99.1600036621094","","","","","","","","","","99.6900024414062","","","","","99.6900024414062","99.6800003051758","","","99.7399978637695","","99.9000015258789","99.9000015258789","","",
"American Samoa","ASM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.2200012207031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4199981689453","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
