"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL","1996","1998","2000","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","BTN","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SE","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Bhutan","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Standard error of the governance estimate","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","0.44396919999999995","0.44396919999999995","0.44396919999999995","0.44396919999999995","0.44396919999999995","0.3900953","0.3395393","0.3063725","0.3063725","0.3063725","0.268166","0.268166","0.268166","0.268166","0.24428539999999999","0.24428539999999999","0.24428539999999999","0.24428539999999999","0.24428539999999999","0.24428539999999999","0.255996","0.25972839999999997","0.2475223","0.2538986","0.2538986","0.2522318"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","POL","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SR","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Poland","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Number of sources","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","5.0","5.0","6.0","7.0","7.0","8.0","8.0","9.0","9.0","9.0","9.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","9.0","9.0","9.0","9.0","10.0","10.0","11.0"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","PLW","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_EST","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Palau","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Governance estimate (approx. -2.5 to +2.5)","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","","","","","","","","","","-0.46510419999999997","-0.411693","-0.5251718","-0.28390489999999996","-0.28240299999999996","-0.28072569999999997","-0.212894","-0.3196826","-0.3187426","-0.3184374","0.010792099999999999","0.0124256","-0.018964599999999998","-0.0161962","-0.0433382","-0.0418711","0.0100272"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","PAK","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC_UB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Pakistan","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Upper bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","50.433805799999995","50.352101999999995","50.380362","48.388045999999996","44.0320761","46.3103844","46.142415299999996","48.133866","48.3037095","43.1511881","43.430242799999995","43.459688899999996","42.5151606","45.9307302","45.7372253","45.3056633","46.6983762","48.2564858","50.378178399999996","48.705914899999996","48.910755699999996","46.6131706","48.5173565","45.026855499999996","45.450999599999996","46.5828457"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","CAF","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC_LB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Central African Republic","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Lower bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","11.7888977","11.6114204","11.672805199999999","5.7439424","5.5641883","10.337751599999999","8.9586592","10.620275099999999","11.4651509","11.454725","14.3098032","16.5500596","16.6519035","16.2516405","15.0839377","13.0183392","13.154529","14.2475571","14.223811999999999","14.7886861","13.8598102","13.2639599","13.9398846","13.860444099999999","14.2690019","14.1565085"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","COD","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SR","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Congo, Dem. Rep.","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Number of sources","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","2.0","2.0","2.0","3.0","3.0","6.0","7.0","7.0","8.0","8.0","8.0","8.0","8.0","8.0","9.0","9.0","9.0","10.0","10.0","10.0","10.0","10.0","10.0","11.0","11.0","12.0"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","SYC","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_EST","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Seychelles","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Governance estimate (approx. -2.5 to +2.5)","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","0.7592137","0.7500861","0.7532430999999999","0.7534943","0.7406421999999999","0.2778055","0.3379987","0.3364771","0.33877809999999997","0.3405729","0.5982831","0.5994724","0.5987726999999999","0.710415","0.6404284","0.5730461","0.6575774999999999","0.8131033999999999","0.6187826","0.6505108","0.5618506999999999","0.49654139999999997","0.5612214999999999","0.41107469999999996","0.5293894","0.6267672"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","VEN","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC_UB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Venezuela, RB","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Upper bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","45.1890206","41.4594573","39.7036856","32.745448599999996","36.1572344","36.5675071","39.3528474","39.11837","41.0284261","40.4513373","42.2806832","38.167837399999996","37.2120783","40.5274393","39.99639","38.9392692","38.6986981","37.6325961","35.3479509","27.4988784","27.469479","28.156272899999998","28.97879","29.0575966","30.658832999999998","30.001065099999998"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","SWE","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC_LB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Sweden","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Lower bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","77.4610695","77.843932","81.2939272","82.8391163","81.9714094","79.2945414","78.9911758","78.9076948","81.9770034","81.9841471","83.6125313","81.7347056","82.4716612","82.78335659999999","81.6792241","81.1646284","79.50072","79.1248009","80.3874956","81.2010567","80.6949114","82.4133039","82.1418362","81.4385149","77.12382269999999","78.7483453"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","LBR","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SR","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Liberia","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Number of sources","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","2.0","2.0","2.0","3.0","3.0","5.0","5.0","5.0","6.0","7.0","9.0","9.0","9.0","10.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","12.0","12.0","12.0"
